City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,10.42,67,43,18.85,SH,1691352199
1,tibanbang,6.6315,126.1055,27.47,79,100,3.52,PH,1691352200
2,bredasdorp,-34.5322,20.0403,10.56,93,0,1.26,ZA,1691352201
3,albany,42.6001,-73.9662,28.78,45,100,0.45,US,1691352080
4,pocitos,-34.9097,-56.1522,18.08,87,75,6.17,UY,1691352132
5,waitangi,-43.9535,-176.5597,8.96,69,100,5.11,NZ,1691352202
6,bethel,41.3712,-73.414,30.02,54,15,1.34,US,1691352007
7,port-aux-francais,-49.35,70.2167,5.21,91,100,12.47,TF,1691352203
8,adamstown,-25.066,-130.1015,20.45,66,94,8.68,PN,1691352204
9,anadyr,64.75,177.4833,11.28,81,100,7.0,RU,1691352204
10,biskra,34.8504,5.7281,34.73,18,0,1.03,DZ,1691352205
11,iqaluit,63.7506,-68.5145,10.85,71,40,2.06,CA,1691352205
12,verkhnevilyuysk,63.4453,120.3167,12.3,75,85,2.33,RU,1691352206
13,tillaberi,14.2117,1.4531,29.15,59,60,2.47,NE,1691352207
14,necochea,-38.5473,-58.7368,11.54,66,13,6.55,AR,1691352207
15,oban,56.4127,-5.4706,12.43,87,53,1.55,GB,1691352164
16,bouillargues,43.7973,4.4285,22.54,32,0,6.17,FR,1691352208
17,saipan,15.1355,145.701,27.03,100,84,1.67,MP,1691352167
18,lundazi,-12.2929,33.1782,15.82,66,1,3.08,ZM,1691352209
19,atafu village,-8.5421,-172.5159,28.69,74,13,4.77,TK,1691352209
20,yashkul',46.1711,45.3435,30.89,30,0,3.61,RU,1691352210
21,taquari,-29.7997,-51.8644,22.95,64,0,1.2,BR,1691352210
22,jamestown,42.097,-79.2353,30.25,48,100,4.63,US,1691351971
23,petoskey,45.3733,-84.9553,23.79,64,0,5.14,US,1691352211
24,tolanaro,-25.0319,46.9987,19.04,88,40,8.23,MG,1691352212
25,pimenta bueno,-11.6725,-61.1936,38.29,17,0,2.56,BR,1691352175
26,west island,-12.1568,96.8225,25.99,89,40,3.09,CC,1691352212
27,berezovyy,51.6667,135.7,13.49,64,4,1.91,RU,1691352213
28,punta arenas,-53.15,-70.9167,2.31,64,30,8.84,CL,1691352172
29,blackmans bay,-43.0167,147.3167,4.74,94,15,2.0,AU,1691352214
30,puerto ayora,-0.7393,-90.3518,29.98,82,56,4.47,EC,1691352214
31,general acha,-37.377,-64.6043,18.88,13,0,7.36,AR,1691352215
32,fale old settlement,-9.3852,-171.2468,28.3,73,92,5.24,TK,1691352215
33,puerto armuelles,8.2833,-82.8667,31.99,70,100,1.34,PA,1691352206
34,san antonio de pale,-1.4014,5.6325,23.23,80,24,5.47,GQ,1691352216
35,bingol,38.8847,40.4939,25.11,23,0,0.56,TR,1691352216
36,kalefeld,51.8,10.0333,15.87,89,100,3.13,DE,1691352216
37,laojunmiao,39.8333,97.7333,22.56,26,95,2.17,CN,1691352217
38,teshi old town,5.5836,-0.1072,25.31,88,40,6.69,GH,1691352217
39,swakopmund,-22.6833,14.5333,17.47,60,0,2.44,NA,1691352218
40,genhe,50.7833,121.5167,11.65,77,100,1.01,CN,1691352218
41,bilibino,68.0546,166.4372,1.51,89,100,3.66,RU,1691352197
42,aberdeen,57.1437,-2.0981,12.59,84,25,1.54,GB,1691352187
43,dudinka,69.4058,86.1778,13.68,64,20,1.51,RU,1691352219
44,klyuchi,52.2667,79.1667,17.86,84,46,2.13,RU,1691352220
45,ust-nera,64.5667,143.2,5.39,78,8,3.56,RU,1691352220
46,grytviken,-54.2811,-36.5092,-7.7,80,100,2.2,GS,1691352220
47,olonkinbyen,70.9221,-8.7187,3.68,86,100,11.37,SJ,1691352221
48,manokwari,-0.8667,134.0833,25.72,73,33,1.23,ID,1691352221
49,brookings,44.3114,-96.7984,24.19,64,40,5.66,US,1691352060
50,stanley,54.868,-1.6985,12.77,81,89,0.99,GB,1691352222
51,puerto natales,-51.7236,-72.4875,2.2,73,8,2.98,CL,1691352222
52,tiksi,71.6872,128.8694,5.49,63,74,2.18,RU,1691352223
53,codrington,-38.2667,141.9667,5.81,90,1,2.02,AU,1691352224
54,island harbour,50.724,-1.2758,17.02,88,2,1.79,GB,1691352224
55,machico,32.7,-16.7667,24.84,83,20,1.54,PT,1691352224
56,kingston,17.997,-76.7936,34.58,63,20,11.83,JM,1691352185
57,belyy yar,53.6039,91.3903,13.94,94,0,0.0,RU,1691352225
58,sal rei,16.1833,-22.9167,28.11,69,20,6.17,CV,1691352225
59,fortuna,40.5982,-124.1573,21.31,80,0,5.66,US,1691352226
60,jiuquan,39.7432,98.5174,24.69,23,100,1.24,CN,1691352226
61,flying fish cove,-10.4217,105.6791,23.82,94,100,5.14,CX,1691352227
62,hermanus,-34.4187,19.2345,9.89,87,0,2.66,ZA,1691352227
63,kalaleh,37.3807,55.4916,28.87,55,0,1.15,IR,1691352227
64,mbandaka,0.0487,18.2603,22.53,93,100,2.58,CD,1691352228
65,dryden,49.7833,-92.7503,25.16,44,20,3.09,CA,1691352161
66,ushuaia,-54.8,-68.3,-0.19,86,75,15.43,AR,1691352229
67,ocean shores,46.9737,-124.1563,22.47,90,75,5.66,US,1691352229
68,minas de marcona,-15.2119,-75.1103,17.66,59,9,5.33,PE,1691352230
69,xinyuan,37.3,99.0,4.83,89,9,1.19,CN,1691352230
70,invercargill,-46.4,168.35,5.01,97,39,2.68,NZ,1691352231
71,nellore,14.4333,79.9667,31.0,51,100,4.33,IN,1691352014
